"Check status and balance","בדוק את סטטוס הכרטיס"
"Card Type","Card Type"
"Wrong or expired Gift Card Code.","Wrong or expired Gift Card Code."
"Expires: %s","Expires: %s"
"Current Balance: %s","Current Balance: %s"
"Gift Card: %s","Gift Card: %s"
"Please wait, loading...","אנא המתן, בטעינה..."
"Have a gift card? <a href='%s'>Click here</a> to check balance.","יש לך כרטיס מתנה? <a href='%s'>הקלק כאן</a> לבדיקת סטטוס."
"Enter gift card code","הכנס קוד כרטיס"
"Check Gift Card","בדוק סטטוס של כרטיס המתנה"
"Gift Card "%s" has been redeemed to Store Credit.","Gift Card "%s" has been redeemed to Store Credit."
"Choose Price:","מחיר הכרטיס"
"This gift card is already in the quote","כרטיס זה כבר נמצא בשימוש"
"Your Gift Card information has been removed successfully.","אפשרות כרטיס המתנה הוסר"
